Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules
ukm,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,362.0,41.0,40.0,1.0,0.0,97.5609756097561,2.4390243902439024,0.0,0.9665032679738562,0.016029194382852923,0.11099613618692598,4.406193275491681,26.01065836096846,79.01730920457092,1074.4612315683187,-995.4439223637478,1.927251444013925,26.20637150166631,-24.279120057652385,76.30603767320882,1.8611228700782638,3964.8327192324336,1.0,5.0,0.0,0.0,1.0,36.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975609756097561,0.008943089430894308,0.9910569105691057,0.024390243902439025,0.9776422764227641,0.975609756097561,0.9756521739130436,0.9665230329546012,0.9811556329849014,0.9609855244893912,0.9791304347826087,0.975609756097561,0.001,0.0,0.0,0.0,0.0,0.0,9713.0,29205.0,4488.0,97.5609756097561,26.21951219512195,'Number of leaves: 16\nSize of the tree: 31\n',31.0,16.0,16.0
ukm,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,362.0,41.0,39.0,2.0,0.0,95.1219512195122,4.878048780487805,0.0,0.9322314049586776,0.032531128557794664,0.153913645500815,8.96121367853633,36.15331766076904,78.66187784787553,1079.9350654422524,-1001.2731875943769,1.9185823865335496,26.339879644932985,-24.421297258399434,72.23110242346542,1.761734205450376,3751.2625906925005,0.8,4.0,0.0,0.0,1.0,36.0,0.2,1.0,1.0,0.8,0.888888888888889,0.8822575465125693,0.9777777777777777,0.8769230769230769,0.9512195121951219,0.022648083623693378,0.9773519163763066,0.04878048780487805,0.9577235772357723,0.9512195121951219,0.9511188540456833,0.9352721411998972,0.9759485094850948,0.9455696395613112,0.9443650793650794,0.9512195121951219,0.002,0.0,0.0,0.0,0.0,0.0,8381.0,29205.0,4488.0,95.1219512195122,25.609756097560975,'Number of leaves: 13\nSize of the tree: 25\n',25.0,13.0,13.0
ukm,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,36.0,4.0,0.0,90.0,10.0,0.0,0.8613518197573659,0.05156755164666562,0.206575591659589,14.193525043087119,48.478496029372394,76.92832047157758,16.922887553169293,60.00543291840829,1.9232080117894395,0.4230721888292323,1.5001358229602073,66.74980272499761,1.6687450681249403,3467.5563218793677,0.8,4.0,0.0,0.0,1.0,35.0,0.2,1.0,1.0,0.8,0.888888888888889,0.8819171036881969,0.9942857142857143,0.9428571428571428,0.9,0.04417989417989417,0.9558201058201059,0.1,0.9129166666666666,0.9,0.9006198830409357,0.8658686302201282,0.9878769841269841,0.9533882783882784,0.9012865497076024,0.9,0.001,0.0,0.0,0.0,0.0,0.0,8381.0,29282.0,4411.0,97.5,28.125,'Number of leaves: 13\nSize of the tree: 25\n',25.0,13.0,13.0
ukm,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,36.0,4.0,0.0,90.0,10.0,0.0,0.8624247635425625,0.05592589041893613,0.20719663872672148,15.39312030280271,48.62424135938044,76.92832047157758,1086.9534177457103,-1010.0250972741328,1.9232080117894395,27.17383544364276,-25.25062743185332,66.38050897293556,1.659512724323389,3448.3720421913954,0.8,4.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.2,1.0,0.8,0.8,0.8000000000000002,0.7714285714285715,0.98,0.7828571428571429,0.9,0.03597883597883598,0.9640211640211639,0.1,0.9058441558441558,0.9,0.8997113997113997,0.8663167995516605,0.9745171957671956,0.9199681568431568,0.8875901875901876,0.9,0.001,0.0,0.0,0.0,0.0,0.0,8381.0,29282.0,4411.0,95.0,27.5,'Number of leaves: 13\nSize of the tree: 25\n',25.0,13.0,13.0
ukm,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,35.0,5.0,0.0,87.5,12.5,0.0,0.823943661971831,0.06555917596437688,0.2481456486237976,18.044599290466913,58.234023414239125,76.92832047157758,2167.2122034949516,-2090.283883023374,1.9232080117894395,54.18030508737379,-52.257097075584355,62.515497214270496,1.5628874303567624,3247.5902359422803,0.4,2.0,0.0,0.0,1.0,35.0,0.6,3.0,1.0,0.4,0.5714285714285715,0.606976978666884,0.9142857142857143,0.6,0.875,0.06018518518518519,0.9398148148148149,0.125,0.9097222222222221,0.875,0.8667364893171344,0.8397621583506563,0.9228505291005291,0.8155555555555555,0.8298072894847088,0.875,0.001,0.0,0.0,0.0,0.0,0.0,8825.0,29282.0,4411.0,87.5,25.0,'Number of leaves: 14\nSize of the tree: 27\n',27.0,14.0,14.0
ukm,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,37.0,3.0,0.0,92.5,7.5,0.0,0.8960138648180244,0.04382246762578939,0.19185787342100638,12.061757284083406,45.02458920786224,76.92832047157758,1087.6267745297987,-1010.6984540582212,1.9232080117894395,27.190669363244968,-25.26746135145553,68.55056188502861,1.7137640471257154,3561.1031722764133,0.8,4.0,0.0,0.0,1.0,35.0,0.2,1.0,1.0,0.8,0.888888888888889,0.8819171036881969,0.9742857142857143,0.8714285714285714,0.925,0.034788359788359785,0.9652116402116402,0.075,0.9285714285714285,0.925,0.925,0.895479232623096,0.9522585978835979,0.896492895545315,0.9236111111111112,0.925,0.001,0.0,0.0,0.0,0.0,0.0,9713.0,29282.0,4411.0,92.5,26.25,'Number of leaves: 16\nSize of the tree: 31\n',31.0,16.0,16.0
ukm,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,37.0,3.0,0.0,92.5,7.5,0.0,0.8982188295165395,0.03777755510583125,0.17462689989903482,10.39794710703296,40.98087971267831,76.92832047157758,2150.1026349920976,-2073.17431452052,1.9232080117894395,53.75256587480244,-51.829357863013,70.4194384765997,1.7604859619149924,3658.1886253467906,1.0,5.0,0.05714285714285714,2.0,0.9428571428571428,33.0,0.0,0.0,0.7142857142857143,1.0,0.8333333333333333,0.8206518066482897,0.9857142857142858,0.8333333333333334,0.925,0.017857142857142856,0.9821428571428571,0.075,0.9412087912087912,0.925,0.9247753623188407,0.9060347274057534,0.9678571428571429,0.9223397435897436,0.9157246376811594,0.925,0.001,0.0,0.0,0.0,0.0,0.0,9269.0,29282.0,4411.0,95.0,25.625,'Number of leaves: 15\nSize of the tree: 29\n',29.0,15.0,15.0
ukm,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,40.0,0.0,0.0,100.0,0.0,0.0,1.0,0.004443993506493505,0.011522686791159637,1.223170988568945,2.704107108517651,76.92832047157758,0.5208312819304952,76.40748918964708,1.9232080117894395,0.01302078204826238,1.910187229741177,76.40748918964705,1.9101872297411764,3969.2592541441036,1.0,5.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.0,0.0,0.0,0.0,0.0,9713.0,29282.0,4411.0,100.0,26.25,'Number of leaves: 16\nSize of the tree: 31\n',31.0,16.0,16.0
ukm,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,363.0,40.0,35.0,5.0,0.0,87.5,12.5,0.0,0.8283261802575107,0.06062588233060373,0.2261688263077643,16.686752650478354,53.07657337463477,76.92832047157758,3226.4657409597853,-3149.5374204882078,1.9232080117894395,80.66164352399463,-78.7384355122052,65.85320900746801,1.6463302251867002,3420.9795667961234,0.8,4.0,0.02857142857142857,1.0,0.9714285714285714,34.0,0.2,1.0,0.8,0.8,0.8000000000000002,0.7714285714285715,0.9942857142857143,0.9666666666666667,0.875,0.047751322751322746,0.9522486772486772,0.125,0.8825000000000001,0.875,0.8710144927536231,0.8303295126684368,0.927278439153439,0.8656141774891776,0.8678743961352657,0.875,0.001,0.0,0.0,0.0,0.0,0.0,9269.0,29282.0,4411.0,92.5,26.875,'Number of leaves: 15\nSize of the tree: 29\n',29.0,15.0,15.0
ukm,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,362.0,41.0,38.0,3.0,0.0,92.6829268292683,7.317073170731708,0.0,0.8990147783251231,0.041756768384877296,0.17981635219083378,11.502562026314257,42.23769556105741,78.66187784787552,1083.6872817116964,-1005.0254038638209,1.9185823865335492,26.431397114919424,-24.512814728385877,70.40793416186547,1.7172666868747675,3656.577854245006,0.8,4.0,0.027777777777777776,1.0,0.9722222222222222,35.0,0.2,1.0,0.8,0.8,0.8000000000000002,0.7722222222222223,0.9638888888888889,0.716923076923077,0.926829268292683,0.026035617499032132,0.9739643825009678,0.07317073170731707,0.9303135888501741,0.926829268292683,0.9276964769647698,0.9023985596889194,0.9777390631049167,0.9293675489689768,0.9122222222222223,0.926829268292683,0.001,0.0,0.01,0.0,10.0,0.0,9269.0,29205.0,4488.0,95.1219512195122,26.21951219512195,'Number of leaves: 15\nSize of the tree: 29\n',29.0,15.0,15.0
ukm,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.0171119130799998E7,362.0,41.0,38.0,3.0,0.0,92.6829268292683,7.317073170731708,0.0,0.898598516075845,0.047551326600381146,0.18566640045082522,13.071170671649018,43.508769558466945,79.01730920457088,2152.3927826330687,-2073.375473428498,1.927251444013924,52.49738494226997,-50.57013349825605,70.23540593786424,1.7130586814113231,3649.405001260968,0.8,4.0,0.0,0.0,1.0,36.0,0.2,1.0,1.0,0.8,0.888888888888889,0.8822575465125693,0.9916666666666667,0.925,0.926829268292683,0.03274059834194401,0.9672594016580559,0.07317073170731707,0.9311160384331115,0.926829268292683,0.9256257469406992,0.9004286221321984,0.9521106171652851,0.9019186395599245,0.9217563837129055,0.926829268292683,0.002,0.0,0.0,0.0,0.0,0.0,9269.0,29205.0,4488.0,95.1219512195122,29.26829268292683,'Number of leaves: 15\nSize of the tree: 29\n',29.0,15.0,15.0
